id,risk_score,risk_level,component_interest_rate,component_debt_to_income,component_revol_util,component_delinq_2yrs,component_term,component_fico,component_annual_income
800000,0.316,低风险,0.3048,0.1912,0.2533,0.5,0.0,0.3956,0.4148
800001,0.6991,高风险,0.5315,0.5731,0.5735,1.0,1.0,0.8901,0.6835
800002,0.5658,中风险,0.8623,0.9994,0.0914,0.0,0.0,0.4505,0.5792
800003,0.5324,中风险,0.5105,0.3106,0.5204,0.0,1.0,0.7253,0.8556
800004,0.5276,中风险,0.6827,0.6989,0.3139,0.0,0.0,0.7253,0.4148
800005,0.0907,低风险,0.0,0.3575,0.0234,0.0,0.0,0.0,0.3474
800006,0.4305,中风险,0.5526,0.6274,0.372,0.0,1.0,0.3407,0.1528
800007,0.1523,低风险,0.0793,0.2885,0.147,0.0,0.0,0.011,0.6835
800008,0.6659,高风险,0.6492,0.6355,0.0988,1.0,1.0,0.7802,0.5986
800009,0.246,低风险,0.1004,0.3099,0.8084,0.0,0.0,0.3956,0.0948
800010,0.581,中风险,0.8623,0.3734,0.5352,0.0,0.0,0.8901,0.3474
800011,0.6504,中风险,0.5563,1.0,0.508,0.0,0.0,1.0,0.8273
800012,0.5725,中风险,1.0,0.1218,0.6897,0.0,1.0,0.4505,0.4517
800013,0.6078,中风险,0.6938,0.6129,0.6539,0.0,0.0,0.9451,0.5335
800014,0.5578,中风险,0.5724,0.3226,0.644,0.5,0.0,0.8352,0.5623
800015,0.3429,中风险,0.0,0.8401,0.5018,0.0,0.0,0.5055,0.6556
800016,0.3966,中风险,0.4058,0.2747,0.0753,0.0,0.0,0.7253,0.8111
800017,0.321,低风险,0.3853,0.0,1.0,0.0,0.0,0.2857,0.483
800018,0.183,低风险,0.0105,0.3353,0.4252,0.0,0.0,0.2857,0.2987
800019,0.4805,中风险,0.5197,0.6932,0.4882,0.0,0.0,0.5055,0.7068
800020,0.3961,中风险,0.1307,0.6453,0.8307,0.5,0.0,0.5055,0.2593
800021,0.3349,中风险,0.3296,0.1775,0.6737,0.0,0.0,0.3956,0.629
800022,0.5887,中风险,0.7124,0.8412,0.5562,0.0,0.0,0.5604,0.8111
800023,0.3769,中风险,0.0378,1.0,0.6428,0.5,0.0,0.2308,0.5513
800024,0.6645,高风险,0.6765,0.5911,0.3201,1.0,0.0,0.8901,0.629
800025,0.4343,中风险,0.3667,0.3843,0.6193,0.0,1.0,0.6154,0.3165
800026,0.2369,低风险,0.0558,0.4963,0.5167,0.0,0.0,0.3407,0.2593
800027,0.4415,中风险,0.3048,0.4625,0.5587,0.5,0.0,0.6703,0.4077
800028,0.6615,高风险,0.9249,0.2627,0.9333,0.0,1.0,0.8901,0.2327
800029,0.3485,中风险,0.3358,0.4195,0.3856,0.0,0.0,0.5055,0.4517
800030,0.0927,低风险,0.0793,0.0003,0.0877,0.0,0.0,0.011,0.5792
800031,0.3147,低风险,0.0793,0.0996,0.3114,0.0,0.0,0.7802,0.8874
800032,0.2629,低风险,0.223,0.0658,0.5859,0.0,0.0,0.5055,0.2648
800033,0.3778,中风险,0.1437,0.7017,0.283,0.0,0.0,0.7253,0.5605
800034,0.6928,高风险,1.0,0.5932,0.4536,0.0,1.0,0.6703,0.7437
800035,0.6802,高风险,0.591,1.0,0.5884,1.0,1.0,0.5055,0.4292
800036,0.1487,低风险,0.057,0.3741,0.0,0.0,0.0,0.0,0.755
800037,0.5366,中风险,0.3345,0.3226,0.5624,1.0,0.0,1.0,0.3165
800038,0.4139,中风险,0.1914,0.4406,0.7664,0.0,0.0,0.8352,0.4671
800039,0.4732,中风险,0.2695,0.0972,1.0,0.0,0.0,0.9451,0.8874
